,r1_l,r1_r,r2_l,r2_r,fb,ft
0,608.6614026302716,187.4621931954229,797.1838160779411,460.33584909666,669.3640409872744,328.0329492489126
1,600.4547323876008,183.07939223207586,746.2084219153545,411.4274917621336,785.3502786785969,298.7566862571885
2,618.3776903726766,207.3336537314762,856.3153450493527,443.66662853680265,709.735410269557,340.98476279038175
3,563.238794871586,267.0702666212511,704.8920290981639,407.3135975257369,774.7969136913712,356.9931748960744
4,565.716074211553,149.3783286009918,748.8552151348963,415.5728501081421,742.069228465065,372.39922204053465
5,649.4385096047612,248.04133968302867,826.6494182767935,397.3829712955904,847.8473312497526,382.06300604452565
6,591.2298149150723,221.22514999482846,767.1747839823466,386.4832173801342,786.4720090792327,320.2945571787212
7,560.426767688268,118.2680648019235,794.1881637390994,368.39644264134813,724.3573834563675,342.72898231666176
8,593.2300256962737,196.97355211990768,791.7777871927923,351.33194350019903,814.2282896348527,300.29202646158785
9,583.3721109062249,198.24695500508392,799.1402467383416,375.60863534410424,777.8127150615976,316.9947073610728
10,553.1303777607507,287.414668625536,767.8505264191349,413.14628664036667,678.3346032382319,303.08682445010186
11,589.3313487333922,178.7025198718969,740.795861401354,402.6607529886271,729.1056190593408,421.4419783862036
12,545.9578567737072,256.3807716528001,755.7417273297458,367.0333637898233,694.2571562094565,359.3398073952062
13,572.307420677282,152.08639725385564,870.1795424401712,438.3702815520777,748.9199794318306,464.32785983564025
14,582.9398196916167,129.40746397332416,865.1606322606971,441.1597182465965,684.3752328150201,384.13575010316396
15,536.9985611361772,184.69160813966224,727.8293456278611,458.63940323597353,653.2541173849644,314.9301097026303
16,553.235970914189,165.07211980457367,834.5884893533631,395.6224202015469,766.8937464033256,335.0852987697079
17,552.4707335865398,153.92264531623135,796.6362778695436,360.12070681476877,658.3524107224914,345.1476045311855
18,531.1677137900024,213.05789298792644,791.2071875962154,394.46114626097943,774.9170581992291,400.1522830882254
19,546.1768827579339,188.4688679271156,705.9682495606116,446.58100852602496,738.5894143874524,285.6303210920991
20,508.33882552584146,246.1321332533661,731.1187253689533,397.840474571227,719.5189631370769,399.304488219371
21,621.7191299957336,261.03834789308985,745.1602491172973,420.5998417625497,788.9385091643969,342.04756965292773
22,572.951550562226,209.0237157697715,744.0392175585258,432.1138287572451,714.7391606242473,301.62499649782796
23,613.138254890596,168.66216823913183,764.3397602517251,371.3487249972463,744.5713994464235,371.887181718539
24,520.6411106616763,214.16092617348977,781.098141459885,397.9876476551872,610.3773253054031,316.64377521150817
