X,Y,Z,formation
564374.23,5249715.30,882.67,Fault_00
564253.57,5249368.82,710.02,Fault_00
563941.29,5248472.04,558.95,Fault_00
563735.46,5247880.98,343.131,Fault_00
563529.64,5247289.91,-45.341,Fault_00
563089.60,5246026.27,-390.65,Fault_00
573970.20,5252467.36,862.694,Fault_00
574332.87,5251660.52,-21.907,Fault_00
574657.36,5250938.60,-673.75,Fault_00
574000,5243276.25886,-1993,Fault_00
574000,5238333.79361,-1993,Fault_00
574000,5233084.78320,-1993,Fault_00
569662.99,5251021.22,1300,Fault_00
566216.37,5250231.37,1300,Fault_00
560295.51,5248693.95,1300,Fault_00
557538.21,5248062.07,1300,Fault_00
557444.23,5234000,-1538.6,Fault_00
560611.33,5234000,-1768.8,Fault_00
563385.12,5234000,-1883.9,Fault_00
566949.77,5234000,-1858.3,Fault_00
571111.70,5234000,-1922.2,Fault_00
573542.66,5234000,-1960.6,Fault_00
568402.37,5241596.60,1110.18,Fault_004
570436.03,5240162.20,424.706,Fault_004
571924.59,5238212.55,-25.140,Fault_004
572285.78,5235748.61,-217.93,Fault_004
572366.21,5234922.92,-153.66,Fault_004
574178.49,5243502.10,1300,Fault_004
570997.34,5242198.47,1300,Fault_004
566699.64,5240404.89,1300,Fault_004
562625.99,5238776.72,1300,Fault_004
558215.94,5236872.36,1300,Fault_004
570243.25,5234000,59.6721,Fault_004
567784.35,5234000,-119.34,Fault_004
563963.35,5234000,-298.36,Fault_004
559917.16,5234000,-132.13,Fault_004
557540.77,5234000,225.901,Fault_004
563600.61,5247493.73,1227.98,Fault_001
563330.91,5246719.23,969.004,Fault_001
558001.27,5245820.96,1300,Fault_001
560640.49,5246286.89,1300,Fault_001
568681.34,5248074.03,1300,Fault_001
572701.77,5248967.60,1300,Fault_001
574001,5238334.79361,-1993,Fault_001
574001,5233085.78320,-1993,Fault_001
556000,5243141.50,315.8306,Fault_001
556000,5241251.29,-452.963,Fault_001
556000,5238822.49,-935.292,Fault_001
556000,5236594.84,-1275.04,Fault_001
556000,5234483.75,-1386.38,Fault_001
567644.80,5243067.80,729.959,Fault_003
568265.08,5241863.22,167.650,Fault_003
571847.99,5238389.47,-175.08,Fault_003
572366.21,5234922.92,-175.08,Fault_003
566935.06,5242849.29,1300,Fault_003
573792.20,5245800.62,1300,Fault_003
570727.27,5244384.90,1300,Fault_003
563662.33,5241595.54,1300,Fault_003
559558.44,5240110.60,1300,Fault_003
573054.00,5254505.71,606.625,Fault_2
573368.95,5253805.03,-138.30,Fault_2
573645.71,5253189.28,-673.72,Fault_2
573893.85,5252637.22,-953.07,Fault_2
574161.08,5252042.71,-1185.8,Fault_2
574657.36,5250938.60,-1465.2,Fault_2
574840.91,5250530.23,-1628.1,Fault_2
566118.42,5254724.04,661.460,Fault_2
565820.32,5253868.02,-50.730,Fault_2
565486.75,5252910.09,-633.446,Fault_2
565217.04,5252135.60,-1065.08,Fault_2
564606.67,5250382.79,-1475.13,Fault_2
563967.90,5248548.47,-1734.11,Fault_2
563542.06,5247325.58,-1906.7743040358473,Fault_2
563102.0235721779,5246061.9383071920,-1993.1016337430647,Fault_2
573054.7015216544,5254929.379633242,1300,Fault_2
570554.8185719859,5254908.310573546,1300,Fault_2
568998.5173624658,5255042.528287163,1300,Fault_2
566886.9293796333,5255128.365197035,1300,Fault_2
565387.4365977370,5255037.065938354,1300,Fault_2
561835.0370659383,5254468.981662114,1300,Fault_2
559336.4026531408,5254223.175965665,1300,Fault_2
557726.7264923918,5253964.884900507,1300,Fault_2
556117.9867342957,5253538.041357784,1300,Fault_2
555529.9836317642,5240202.866921283,-1993,Fault_2
555633.5499231188,5243632.260304548,-1993,Fault_2
555741.6794801845,5246331.531174049,-1993,Fault_2
574365.7556668816,5236479.341302514,-1993,Fault_2
574284.0136897970,5239558.057636029,-1993,Fault_2
574231.5361341203,5242954.466544318,-1993,Fault_2
566671.3473628039,5256927.00716285,693.8365033940295,Fault_3
566633.6855416704,5256486.185501315,186.66344136413636,Fault_3
566519.4236370405,5255875.592804906,-147.85496125132477,Fault_3
566231.9787717717,5255050.145230378,-557.9097773606004,Fault_3
565940.9852044625,5254214.506945002,-881.6372637626596,Fault_3
565742.2578902026,5253643.827140355,-1054.2919231770911,Fault_3
